이름,국가,키(cm),개인기,골결,드리블,중거리,크로스,패스,헤더,몸싸움,가속도,주력,점프거리,균형감각,일대일 마크,태클,수비위치선정,예측력
Willer Emilio DITTA PEREZ,Colombia,184,13,7,7,9,8,12,13,14,12,13,11,12,14,15,14,15
Juan Camilo HERNANDEZ SUAREZ,Colombia,175,13,15,13,14,12,12,13,15,14,14,13,15,4,5,5,14
Juan Fernando QUINTERO PANIAGUA,Colombia,168,15,12,13,15,14,16,6,10,11,10,5,12,5,5,7,13
Jaminton Leandro CAMPAZ,Colombia,165,14,12,15,13,12,12,9,10,17,14,5,13,7,8,7,11
Deiver MACHADO MENA,Colombia,180,13,12,13,11,15,13,8,13,15,14,8,12,12,12,12,12
Davinson SÁNCHEZ MINA,Colombia,188,13,6,11,8,7,13,16,16,13,15,16,13,14,17,14,13
Álvaro David MONTERO PERALES,Colombia,200,10,1,2,2,1,10,8,12,10,11,19,13,1,1,11,13
Luis Javier SUÁREZ CHARRIS,Colombia,185,14,16,13,10,10,12,12,14,15,16,12,14,5,7,8,14
Carlos Andrés GÓMEZ HINESTROZA,Colombia,171,13,12,14,12,13,12,7,10,15,15,8,12,6,7,7,12
Lionel Nzau MPASI,Congo DR,182,8,1,1,2,3,10,9,11,12,12,11,14,3,2,11,12
Wan BISSAKA,Congo DR,183,11,7,13,5,11,11,8,13,17,15,10,15,12,19,13,12
Steve Nkanu KAPUADI,Congo DR,196,11,5,10,6,11,13,16,15,11,12,18,14,11,13,14,14
Axel TUANZEBE,Congo DR,185,12,5,12,4,6,13,12,14,15,16,13,13,14,14,15,15
Dylan Buduka BATUBINSIKA,Congo DR,185,12,6,9,9,9,11,15,15,11,12,14,13,14,13,13,13
Ngal’ayel MUKAU,Congo DR,188,12,13,14,9,13,14,12,14,13,12,12,14,12,14,14,13
Nathanaël MBUKU,Congo DR,170,14,10,14,10,11,11,8,8,15,12,6,13,8,10,9,12
Samuel Alain MOUTOUSSAMY,Congo DR,176,12,6,11,9,10,12,12,14,11,11,12,13,13,14,14,13
Kibambe Brian CIPENGA,Congo DR,172,12,9,13,8,11,10,7,9,15,14,8,11,7,7,6,14
Theo Mbulofeko Batombo BONGONDA,Congo DR,177,15,13,14,15,11,12,7,9,15,15,9,12,6,8,8,12
Mambenga Gaël Roméo KAKUTA,Congo DR,173,16,12,15,14,13,14,7,9,11,7,7,16,5,4,5,13
Joris KAYEMBE-DITU,Congo DR,180,13,9,14,10,13,11,8,12,14,14,11,12,12,13,10,8
Meschack Lina ELIA,Congo DR,173,13,9,13,12,11,12,7,10,16,15,5,11,5,6,5,11
Noah Junior SADIKI,Congo DR,173,13,9,14,10,13,13,10,14,14,13,12,13,14,14,14,12
Tshibola AARON,Congo DR,190,13,10,14,9,9,14,11,15,12,13,14,13,10,11,11,10
Timothy Bruce Munzoko FAYULU,Congo DR,192,4,3,1,3,2,11,1,13,11,11,14,11,3,3,11,12
Cedric BAKAMBU,Congo DR,182,13,14,13,12,10,13,13,13,14,13,11,15,7,8,7,15
Charles Monginda PICKEL,Congo DR,185,12,9,8,10,9,11,13,14,13,12,13,12,13,15,14,14
Mayele Fiston KALALA,Congo DR,180,11,14,11,11,9,11,12,11,13,14,12,12,5,7,6,13
Yoane WISSA,Congo DR,176,14,15,13,12,11,13,13,12,16,14,11,12,6,8,8,15
Matthieu Luka EPOLO,Congo DR,183,12,3,3,3,12,10,13,12,12,12,13,12,14,8,12,12
Mangulu Chancel MBEMBA,Congo DR,182,12,6,11,10,9,14,15,14,12,13,13,14,15,14,12,14
Simon Bokote BANZA,Congo DR,189,11,16,11,10,8,9,17,13,13,12,14,10,4,5,6,16
Gédéon Tchingoma Kyatengwa KALULU,Congo DR,179,12,8,11,9,12,12,10,11,12,13,9,13,12,13,12,13
Edo Kayembe KAYEMBE,Congo DR,183,12,13,11,14,7,13,10,15,14,14,11,14,11,11,10,13
Arthur Fuka MASUAKU KAWELA,Congo DR,179,16,8,15,14,15,14,7,14,13,11,9,14,8,12,9,12
Yahia FOFANA,Côte D'Ivoire,194,8,1,2,2,1,11,7,14,10,10,14,10,1,2,13,12
Ousmane DIOMANDE,Côte D'Ivoire,190,13,8,11,10,8,14,16,17,13,15,17,16,17,12,13,15
N'clomande Ghislain KONAN,Côte D'Ivoire,178,13,6,14,9,13,11,9,13,15,15,9,14,10,10,10,10
Jean Michael SERI,Côte D'Ivoire,168,15,11,10,12,12,15,5,9,12,7,5,15,9,9,10,13
Wilfried Stephane SINGO,Côte D'Ivoire,190,12,8,13,10,12,13,14,16,14,16,16,14,13,13,13,13
Seko Mohamed FOFANA,Côte D'Ivoire,185,13,11,12,14,9,13,11,16,14,13,11,14,11,12,12,13
Kouakou Odilon Dorgeless KOSSOUNOU,Côte D'Ivoire,191,13,6,11,6,11,14,13,16,14,16,16,15,14,13,14,14
Franck Yannick KESSIE,Côte D'Ivoire,183,13,13,12,12,7,14,13,15,12,12,12,13,13,15,14,14
Ange-Yoan Laurent BONNY,Côte D'Ivoire,189,15,14,14,10,9,13,13,16,14,15,13,16,5,9,9,13
Simon ADINGRA,Côte D'Ivoire,175,14,13,16,10,14,14,9,10,16,16,8,12,6,6,8,15
Yan DIOMANDE,Côte D'Ivoire,182,13,10,16,11,10,11,7,11,17,16,10,12,7,8,7,10
Sepe Elye Delmas WAHI,Côte D'Ivoire,182,14,14,13,12,9,11,13,12,15,16,12,13,6,6,6,14
Christopher Tea Domoraud OPERI,Côte D'Ivoire,182,13,7,12,7,16,13,11,13,14,12,11,15,10,12,10,11
Oumar DIAKITE,Côte D'Ivoire,182,12,12,13,10,10,12,9,12,13,14,11,12,11,8,11,11
Amad DIALLO,Côte D'Ivoire,173,16,13,15,14,11,15,3,9,16,15,6,14,6,6,9,12
Mohamed KONE,Côte D'Ivoire,190,5,1,1,1,1,10,1,13,10,10,13,9,1,2,11,13
Guela Maho-Lewis DOUE,Côte D'Ivoire,186,12,7,11,10,13,11,13,15,13,14,15,14,14,14,14,13
Ibrahim SANGARE,Côte D'Ivoire,191,13,7,12,13,9,15,15,17,13,12,17,15,14,15,15,13
Nicolas PEPE,Côte D'Ivoire,183,17,14,16,16,13,14,8,10,16,15,8,12,6,5,8,16
Badobre Emmanuel Elysee Djedje AGBADOU,Côte D'Ivoire,192,12,8,10,10,10,12,15,16,13,14,15,16,14,14,13,14
Obite Evan NDICKA,Côte D'Ivoire,192,13,7,12,5,10,12,15,16,14,15,16,15,15,16,15,16
Evann Ludovic Vidjannagni GUESSAND,Côte D'Ivoire,185,14,15,13,13,10,14,14,15,15,14,14,14,5,7,10,13
Alban-Marc LAFONT,Côte D'Ivoire,196,10,1,1,1,3,12,3,13,10,11,16,13,3,2,14,12
Bazoumana TOURE,Côte D'Ivoire,178,13,8,15,11,13,10,11,8,16,17,11,11,8,9,8,10
Parfait GUIAGON,Côte D'Ivoire,169,15,9,15,10,12,13,7,9,12,13,5,8,7,10,7,11
Christ Ravynel Inao OULAI,Côte D'Ivoire,173,14,8,12,8,7,11,6,7,14,11,7,16,11,13,10,9
Dominik LIVAKOVIĆ,Croatia,188,9,1,2,2,2,11,8,11,10,7,13,9,3,9,14,16
Josip STANIŠIĆ,Croatia,186,12,8,12,7,12,13,14,14,12,15,15,14,14,15,14,13
Marin PONGRAČIĆ,Croatia,190,12,6,12,6,7,13,15,16,14,14,14,15,14,14,14,14
Joško GVARDIOL,Croatia,185,14,12,13,8,12,16,15,16,14,15,13,15,14,14,14,14
Duje ĆALETA-CAR,Croatia,193,10,6,8,9,5,11,17,16,11,11,15,15,14,14,15,15
Josip ŠUTALO,Croatia,185,14,5,11,5,8,13,14,14,12,12,13,12,15,16,15,17
Nikola MORO,Croatia,184,13,10,12,13,14,16,12,11,11,12,13,12,8,13,11,12
Mateo KOVAČIĆ,Croatia,177,16,8,16,9,10,14,10,13,15,14,9,16,12,15,13,15
Andrej KRAMARIĆ,Croatia,177,16,14,12,13,12,14,13,11,12,12,10,13,7,7,8,13
Luka MODRIĆ,Croatia,172,19,11,16,13,15,18,7,8,13,11,6,14,8,9,14,16
Ante BUDIMIR,Croatia,190,12,15,10,12,8,11,17,17,11,13,15,15,7,12,12,16
Ivor PANDUR,Croatia,187,9,2,3,2,1,10,5,10,10,12,16,12,1,3,12,11
Nikola VLAŠIĆ,Croatia,179,15,13,15,14,12,15,9,12,14,13,10,15,7,8,6,14
Ivan PERIŠIĆ,Croatia,186,14,13,13,12,15,14,15,12,12,11,14,14,9,9,9,15
Mario PAŠALIĆ,Croatia,188,14,13,13,14,11,15,12,12,13,13,14,14,8,12,9,16
Martin BATURINA,Croatia,172,15,11,16,13,13,14,7,11,13,13,7,17,8,9,12,12
Petar SUČIĆ,Croatia,183,15,13,13,10,11,15,11,11,11,11,12,12,10,12,11,14
Kristijan JAKIĆ,Croatia,181,11,8,10,11,10,12,13,15,12,12,14,15,13,15,15,15
Toni FRUK,Croatia,174,15,14,14,13,14,15,9,10,11,10,8,15,4,6,6,14
Igor MATANOVIĆ,Croatia,195,13,14,12,9,8,11,14,15,12,13,16,15,5,6,6,13
Luka SUČIĆ,Croatia,185,15,11,15,14,10,13,11,12,15,15,13,13,5,8,6,13
Luka VUŠKOVIĆ,Croatia,193,12,10,12,12,8,12,14,15,11,12,16,15,12,12,13,12
Dominik KOTARSKI,Croatia,189,13,1,3,2,1,13,1,14,10,12,15,13,1,2,13,13
Marco PAŠALIĆ,Croatia,177,13,11,14,16,14,13,7,9,13,13,7,14,6,8,9,12
Martin ERLIĆ,Croatia,192,11,6,9,5,12,11,14,15,12,13,15,13,14,14,14,13
Petar MUSA,Croatia,190,12,16,10,12,8,12,15,16,12,13,15,16,7,6,7,13
Eloy Victor ROOM,Curaçao,188,10,2,4,1,3,11,3,11,10,9,14,10,5,4,12,12
Shurandy Ruggerio SAMBO,Curaçao,174,13,7,11,5,12,12,7,10,14,14,12,11,11,12,12,11
Juriën Godfried Juan GAARI,Curaçao,180,11,4,10,5,10,12,13,11,13,14,12,12,11,12,11,11
Róshón Felix Romar Jordan VAN EIJMA,Curaçao,186,9,6,4,6,6,9,12,14,11,10,13,13,12,10,13,10
Sherel Constancio FLORANUS,Curaçao,185,11,5,11,11,12,9,10,12,12,12,11,11,11,11,11,9
Godfried ROEMERATOE,Curaçao,178,11,5,12,9,6,12,6,10,12,11,9,12,10,10,12,12
Juninho Gracielo BACUNA,Curaçao,178,14,10,12,12,13,13,8,12,11,12,10,14,9,11,12,13
Livano Shyron Liomar COMENENCIA,Curaçao,185,12,5,10,11,10,12,12,11,13,13,12,12,11,11,11,10
Jürgen Leonardo LOCADIA,Curaçao,193,13,13,10,11,7,11,14,15,13,13,14,13,6,6,6,12
Leandro Jones Johan BACUNA,Curaçao,187,12,8,11,11,12,11,10,13,12,12,12,12,8,11,11,11
Jeremy Cornelis Jacobus ANTONISSE,Curaçao,184,12,9,13,12,11,11,8,12,13,13,12,10,6,9,6,12
Misjonne Juniffer Naigelino HANSEN,Curaçao,173,14,10,14,11,10,12,7,10,14,14,8,12,6,3,4,11
Tyrese Yurvencey NOSLIN,Curaçao,182,12,7,13,8,11,11,10,8,13,13,10,8,9,10,10,9
Kenji Joël GORRÉ,Curaçao,178,15,12,15,12,11,12,5,10,12,12,9,14,4,6,6,12
Ar'jany Jainel Archenir MARTHA,Curaçao,180,13,8,12,8,12,13,7,9,13,13,8,10,8,10,8,10
Jearl Erwin MARGARITHA,Curaçao,181,11,10,11,6,10,15,6,6,14,15,7,9,4,4,4,15
Brandley Mack-Olien KUWAS,Curaçao,178,12,10,12,14,12,13,9,13,12,11,11,14,3,4,5,11
Armando Maria OBISPO,Curaçao,185,12,5,9,8,6,12,15,13,12,12,14,13,13,13,13,12
Gervane Zjandric Adonnis KASTANEER,Curaçao,185,12,8,13,11,9,10,10,14,13,13,13,15,5,5,6,10
Joshua Benjamin BRENET,Curaçao,181,12,9,12,9,12,12,9,12,13,13,10,12,10,11,9,11
Tahith Jose Girigorio Djorkaef CHONG,Curaçao,185,13,11,13,11,12,12,6,8,16,16,12,11,3,5,5,11
Kevin Antonio FELIDA,Curaçao,174,11,6,7,11,7,11,8,13,11,12,10,14,11,11,11,13
Riechedly Guillermo BAZOER,Curaçao,184,15,10,12,14,9,15,10,14,12,12,13,13,11,13,13,13
Deveron Lenny FONVILLE,Curaçao,178,13,7,13,7,12,12,10,6,14,14,11,13,15,13,13,11
Tyrick Jeremy BODAK,Curaçao,190,6,1,1,1,1,7,1,6,11,11,11,8,1,1,10,7
Trevor Irving DOORNBUSCH,Curaçao,188,3,1,1,1,1,9,1,10,13,13,12,8,1,1,11,12
Matěj KOVÁŘ,Czechia,196,12,2,10,2,3,13,3,13,8,8,17,12,2,1,13,12
David ZIMA,Czechia,190,10,8,9,6,7,14,15,15,13,14,15,14,14,13,13,13
Tomáš HOLEŠ,Czechia,180,11,11,11,12,8,13,14,14,12,13,11,17,15,15,12,12
Robin HRANÁČ,Czechia,190,11,6,8,6,6,10,14,16,13,15,15,15,14,13,14,13
Vladimír COUFAL,Czechia,174,11,6,11,8,13,11,13,13,13,14,10,16,14,14,13,12
Štěpán CHALOUPEK,Czechia,190,10,9,12,5,5,14,15,13,14,12,15,14,14,15,11,10
Ladislav KREJČÍ,Czechia,191,12,11,12,14,9,14,15,15,13,13,15,15,14,14,12,14
Vladimír DARIDA,Czechia,172,13,10,11,13,11,13,7,7,11,10,6,13,8,10,12,12
Adam HLOŽEK,Czechia,188,13,12,13,12,11,12,12,14,14,14,14,14,7,8,7,13
Patrik SCHICK,Czechia,191,15,17,13,12,8,12,17,15,12,14,17,16,6,6,7,17
Jan KUCHTA,Czechia,185,13,13,12,8,9,13,11,13,14,13,11,11,4,6,10,14
Lukáš ČERV,Czechia,182,12,11,13,13,9,13,6,13,14,14,10,14,12,12,13,11
Mojmír CHYTIL,Czechia,187,13,15,12,11,8,11,13,14,13,13,14,14,5,7,12,14
David JURÁSEK,Czechia,183,12,8,12,9,15,11,10,12,14,16,11,12,10,12,10,12
Pavel ŠULC,Czechia,177,13,14,14,8,13,12,11,8,16,15,7,9,7,8,12,13
Jindřich STANĚK,Czechia,191,7,1,2,3,1,7,7,19,13,7,17,15,7,5,12,13
Lukáš PROVOD,Czechia,189,12,12,13,15,13,14,12,16,14,15,14,14,12,11,12,12
Michal SADÍLEK,Czechia,169,13,7,12,9,9,14,7,11,13,14,8,14,11,10,11,13
Tomáš CHORÝ,Czechia,199,9,16,11,13,4,11,17,19,14,14,18,18,11,11,11,13
Jaroslav ZELENÝ,Czechia,190,12,9,13,6,15,14,13,12,11,12,15,15,14,14,13,13
David DOUDĚRA,Czechia,175,13,11,13,11,11,13,7,9,16,17,7,11,10,12,11,12
Tomáš SOUČEK,Czechia,192,10,14,10,12,8,9,18,16,11,11,17,15,14,15,15,14
Lukáš HORNÍČEK,Czechia,197,8,1,3,3,2,7,2,14,9,10,16,13,2,3,14,12
Alexandr SOJKA,Czechia,188,13,8,9,9,13,14,13,13,11,12,13,11,14,10,12,12
Hugo SOCHŮREK,Czechia,184,8,12,8,6,1,12,6,4,13,10,6,4,5,8,4,11
Denis VIŠINSKÝ,Czechia,177,15,15,12,12,13,12,9,8,12,12,11,11,10,10,10,11
Hernán Ismael GALÍNDEZ,Ecuador,189,8,3,3,3,3,12,6,14,10,10,12,11,2,3,14,11
Félix Eduardo TORRES CAICEDO,Ecuador,187,8,6,5,8,4,12,15,18,12,13,15,15,14,14,11,14
Piero Martin HINCAPIÉ REYNA,Ecuador,184,13,7,12,7,11,14,13,15,14,16,15,15,15,17,14,14
Joel Leandro ORDÓÑEZ GUERRERO,Ecuador,188,12,7,9,7,8,12,12,15,12,12,14,14,13,14,11,11
Jordy Jose ALCÍVAR MACÍAS,Ecuador,172,15,7,11,10,9,15,9,10,12,13,9,15,11,14,12,10
Willian Joel PACHO TENORIO,Ecuador,188,12,6,11,6,8,14,14,18,14,15,16,15,16,16,15,16
Pervis Josue ESTUPIÑÁN TENORIO,Ecuador,175,14,9,13,13,14,14,10,14,14,14,10,12,12,15,11,13
Anthony Lenin VALENCIA BAJAÑA,Ecuador,176,13,11,14,11,10,11,6,7,15,15,6,7,3,4,5,7
John YEBOAH ZAMORA,Ecuador,170,14,10,15,11,11,12,5,8,14,13,6,9,4,6,6,10
Ray Kendry PAEZ ANDRADE,Ecuador,178,16,10,15,11,11,13,6,7,14,14,8,10,5,6,6,10
Kevin Jose RODRÍGUEZ CORTEZ,Ecuador,190,11,14,14,10,8,11,12,16,15,15,16,13,5,5,7,10
Wellington Moisés RAMÍREZ PRECIADO,Ecuador,185,13,2,1,3,3,12,6,15,15,15,14,16,1,3,11,10
Enner Remberto VALENCIA LASTRA,Ecuador,177,14,14,14,12,7,12,14,12,14,14,10,15,4,4,7,12
Alan Steve MINDA GARCIA,Ecuador,171,12,12,15,11,12,12,8,9,13,15,7,8,6,7,8,8
Pedro Jeampierre VITE UCA,Ecuador,168,14,13,14,12,10,14,10,8,13,13,6,10,6,11,8,10
Jordy Josue CAICEDO MEDINA,Ecuador,185,10,12,10,9,8,9,12,12,14,12,13,8,7,7,7,11
Ángelo Smit PRECIADO QUIÑONEZ,Ecuador,174,14,9,14,14,14,12,9,11,15,15,10,13,10,13,11,10
Denil Daniel CASTILLO PRECIADO,Ecuador,187,14,9,12,8,7,13,10,12,16,15,13,11,12,13,12,12
Gonzalo Jordy PLATA JIMENEZ,Ecuador,178,15,13,16,12,14,13,9,8,16,15,9,13,6,5,5,10
Nilson David ANGULO RAMIREZ,Ecuador,184,13,12,13,9,12,13,10,13,15,14,12,11,8,8,9,9
Alan Steven FRANCO PALMA,Ecuador,175,13,10,11,10,10,12,8,12,13,13,7,12,13,13,13,15
Gonzalo Roberto VALLE BUSTAMANTE,Ecuador,185,10,1,1,2,1,11,6,13,13,14,15,9,2,3,13,13
Moisés Isaac CAICEDO COROZO,Ecuador,178,14,11,14,12,8,15,9,12,16,14,9,12,13,18,15,15
Jeremy Alberto AREVALO MERA,Ecuador,182,13,14,13,6,9,12,11,15,13,12,11,15,5,6,6,12
Jackson Gabriel POROZO VERNAZA,Ecuador,192,11,8,10,6,6,9,16,14,13,14,16,13,13,14,12,12
Yaimar Abel MEDINA ORTIZ,Ecuador,177,12,10,13,12,12,13,8,9,13,15,7,12,11,11,11,10
Mohamed Elsayed Mohamed ELSHENAWY GOMAA,Egypt,191,9,1,3,1,3,9,5,12,10,10,16,12,1,3,14,10
Yasser Ahmed Ibrahim ELHANAFY,Egypt,185,9,6,6,11,5,11,15,14,11,13,14,14,13,15,15,13
Mohamed Hany Gamal ELDEMERDASH,Egypt,175,13,8,13,8,13,13,10,12,14,14,11,13,11,14,13,12
Hossam Abdelmegeed Abdelsalam ABDELMEGEED,Egypt,193,12,7,9,5,6,13,14,12,11,13,14,13,12,13,12,12
Ramy Hisham Abdelaziz Moustafa RABIA,Egypt,183,10,6,8,11,7,11,14,14,13,13,13,12,12,14,13,12
Mohamed Abdelmoneim Elsayed M AHMED,Egypt,184,13,5,11,5,9,13,15,13,12,14,14,13,14,15,15,13
Mahmoud Ahmed Ibrahim HASSAN,Egypt,181,15,14,16,16,12,12,8,11,14,12,11,15,6,7,8,12
Emam Ashour Metwaly ABDELGHANY,Egypt,180,14,12,15,15,13,14,10,12,13,12,9,13,7,12,12,13
Hamza Mohamed Abdelkarim E SELIM,Egypt,182,12,14,11,9,4,10,12,9,14,13,13,8,4,4,4,8
Mohamed Salah Hamed Mahrous GHALY,Egypt,175,17,17,16,15,17,16,10,16,16,16,8,18,7,7,8,17
Mostafa Mohamed Zaky ABDELRAOUF,Egypt,179,14,10,14,9,13,6,9,11,14,14,14,14,7,9,8,11
Haissem Yousry Fouad A HASSAN,Egypt,178,15,10,17,9,12,12,7,10,16,16,9,13,7,7,10,9
Ahmed Mohamed Aboelfetouh MOHAMED,Egypt,177,14,8,14,10,12,12,12,10,14,15,9,12,14,12,11,9
Hamdy Fathy Abdelhalim ABDELFATTAH,Egypt,183,11,9,11,12,6,13,12,13,12,10,10,12,13,16,14,13
Karim Hafez Ramadan SEIFELDIN,Egypt,175,13,8,13,8,13,12,7,12,14,14,7,11,8,10,9,11
Mahdy Mohamed Soliman IBRAHIM,Egypt,189,7,2,1,1,2,8,4,13,11,7,16,10,1,1,12,16
Mohanad Mostafa Ahmed A LASHIN,Egypt,179,12,7,11,8,8,13,7,13,13,12,11,13,9,13,10,12
Nabil Emad Aly Elmahdy ALY,Egypt,179,14,10,5,10,9,14,9,6,11,9,11,14,13,14,13,13
Marawan Attia Fahim GHALLAB,Egypt,176,15,9,13,11,12,16,8,9,12,12,8,13,10,13,14,13
Ibrahim Adel Aly Mohamed HASSAN,Egypt,178,15,11,16,11,12,12,7,8,15,12,7,15,5,7,6,12
Mahmoud Saber Abdelmohsen H ABDELMOHSEN,Egypt,170,13,10,13,14,12,13,7,7,13,12,7,12,5,7,8,11
Omar Khaled Mohamed Abdelsalam MARMOUSH,Egypt,180,15,14,16,14,12,13,11,13,16,16,11,15,7,8,7,16
Mostafa Ahmed Abdelaziz Mohame SHOUBIR,Egypt,185,7,1,1,1,1,8,1,5,12,10,11,8,1,1,11,11
Tarek Alaa Abdelghaffar Abdel ELGEBALY,Egypt,178,12,8,11,6,9,12,13,12,13,11,11,12,13,14,13,13
Ahmed Mostafa Mohamed SAYED,Egypt,175,16,13,16,12,14,14,7,8,14,14,8,12,7,7,8,12
Mohamed Alaaeldin Soliman M AHMED,Egypt,188,15,13,15,15,10,15,9,5,12,9,7,10,11,11,11,13
Jordan Lee PICKFORD,England,185,14,2,1,3,1,13,8,14,8,8,14,12,1,2,14,15
Ezri Ngoyo KONSA,England,183,15,5,13,3,7,14,15,14,15,14,14,14,14,16,14,15
Nico O'REILLY,England,193,15,11,13,7,9,13,10,9,16,13,15,13,11,10,12,13
Declan RICE,England,188,15,10,14,12,15,15,14,14,13,13,14,15,15,17,16,18
John STONES,England,188,16,8,14,6,6,16,14,15,14,15,16,12,13,16,16,16
Addji Keaninkin Marc-Isreal GUEHI,England,183,15,8,13,8,9,13,14,14,15,14,14,15,15,15,15,14
Bukayo Ayoyinka SAKA,England,178,17,15,17,17,15,13,9,13,17,15,9,18,9,10,10,16
Elliot Junior ANDERSON,England,179,14,12,13,12,11,13,9,14,14,12,8,14,10,13,13,12
Harry Edward KANE,England,188,17,19,14,17,12,18,17,16,12,13,16,18,8,9,8,18
Jude Victor William BELLINGHAM,England,186,17,17,17,14,12,17,14,14,16,15,12,14,12,15,12,16
Marcus RASHFORD,England,188,15,15,15,13,13,14,12,15,16,17,13,15,2,4,4,13
Trevoh Tom CHALOBAH,England,192,13,8,10,9,11,12,13,13,16,15,15,14,14,16,14,14
Dean Bradley HENDERSON,England,188,11,1,3,2,3,11,7,11,12,11,14,12,1,1,15,14
Jordan Brian HENDERSON,England,182,14,7,11,9,12,16,10,12,12,12,12,14,14,14,15,15
Daniel Johnson BURN,England,201,12,9,9,4,9,13,15,17,10,12,19,8,15,16,16,15
Kobbie Boateng MAINOO,England,184,16,13,14,9,9,14,10,12,13,13,12,16,9,12,12,14
Morgan Elliot ROGERS,England,187,15,14,17,13,12,13,8,14,15,16,11,17,9,9,9,13
Anthony Michael GORDON,England,183,14,13,17,12,15,13,7,10,17,17,11,15,8,11,9,14
Oliver George Arthur WATKINS,England,180,13,15,13,11,12,13,14,15,15,14,13,12,6,7,9,15
Chukwunonso Azuka Tristan MADUEKE,England,182,15,13,17,11,13,13,11,14,15,16,13,16,3,5,5,11
Eberechi Oluchi EZE,England,178,16,13,17,15,13,15,6,12,14,13,9,16,6,7,10,14
Ivan Benjamin Elijah TONEY,England,185,15,17,14,13,11,12,17,15,13,14,13,14,5,7,8,14
James Harrington TRAFFORD,England,197,13,1,5,3,1,11,5,13,13,13,15,15,3,2,15,11
Reece Lewis JAMES,England,180,15,12,11,11,16,12,14,18,15,14,10,19,13,14,13,13
Diop Tehuti Djed-Hotep SPENCE,England,184,10,11,10,7,12,10,7,13,17,15,12,12,13,15,12,15
Jarell Amorin QUANSAH,England,190,13,7,13,10,8,14,15,15,14,14,16,15,14,15,14,14
Brice Lauriche SAMBA,France,187,10,6,2,11,1,14,1,15,10,10,15,15,3,1,13,12
Malo Arthur GUSTO,France,178,13,6,10,9,15,12,10,12,17,16,10,12,12,13,11,12
Lucas DIGNE,France,178,14,8,13,13,16,15,12,12,15,14,8,13,10,13,12,14
Dayotchanculle Oswald UPAMECANO,France,186,13,6,12,8,8,16,14,17,15,16,16,16,17,17,16,16
Jules Olivier KOUNDE,France,181,14,13,14,13,13,14,13,14,15,15,11,16,14,15,13,15
Kouadio Emmanuel Boris KONE,France,185,16,11,16,13,6,15,10,15,15,15,12,16,12,15,13,16
Masour Ousmane DEMBELE,France,178,18,15,18,13,14,15,7,10,18,17,8,13,10,7,10,11
Aurélien Djani TCHOUAMENI,France,188,14,9,12,13,10,15,13,18,14,16,14,15,16,16,14,16
Marcus Lilian THURAM-ULIEN,France,192,17,15,17,14,10,13,13,17,17,17,14,17,4,7,6,14
Kylian MBAPPE LOTTIN,France,178,17,18,18,15,13,15,9,12,19,19,8,16,4,4,4,17
Michael Akpovie OLISE,France,180,18,15,17,16,16,17,8,13,15,14,11,16,8,9,8,17
Bradley Jean-Manuel Essolisa A BARCOLA,France,182,16,13,16,12,13,14,11,10,17,17,13,13,5,5,9,12
N'golo KANTE,France,168,14,9,12,10,10,15,9,11,15,8,6,15,13,19,15,17
Adrien Thibault Marie RABIOT,France,191,15,13,14,14,14,16,14,18,13,16,14,15,11,16,16,15
Ibrahima KONATÉ,France,194,14,5,13,4,5,14,16,18,14,15,16,14,16,16,15,14
Mike Peterson MAIGNAN,France,191,12,1,6,10,1,14,6,15,9,10,15,14,1,13,14,15
William Alain André Gabriel SALIBA,France,192,16,9,12,11,10,13,16,17,14,14,16,16,16,18,16,18
Warren Marie Jean-Pierre ZAÏRE-EMERY,France,178,14,8,13,11,11,15,9,13,14,13,9,15,13,14,15,14
Théo Bernard François HERNANDEZ,France,184,13,12,14,15,15,13,13,14,16,17,12,15,13,14,13,14
Désiré Nonka-Maho DOUE,France,181,16,12,17,13,14,15,9,11,16,14,9,13,11,10,10,12
Lucas Francois Bernard HERNANDEZ,France,184,13,6,12,7,13,14,14,15,13,13,14,15,16,16,16,15
Jean-Philippe MATETA,France,192,13,15,14,9,8,11,14,16,15,15,16,14,8,7,11,13
Robin François Philippe RISSER,France,192,9,1,1,2,2,13,3,15,9,10,16,12,3,3,11,12
Mathis Rayan CHERKI,France,180,17,12,18,10,14,14,4,13,14,14,6,13,3,3,7,9
Maghnes AKLIOUCHE,France,183,16,11,15,10,13,15,7,8,14,13,8,12,6,7,8,12
Maxence Guy LACROIX,France,192,12,7,11,6,7,12,15,15,15,17,15,14,15,14,14,15
Manuel Peter NEUER,Germany,193,14,7,12,7,6,15,10,15,8,8,16,14,9,11,14,14
Antonio RÜDIGER,Germany,190,11,7,10,8,10,12,15,18,16,16,15,16,15,17,14,14
Waldemar ANTON,Germany,189,12,6,12,8,8,14,14,15,12,14,16,15,14,15,15,15
Jonathan Glao TAH,Germany,195,12,6,10,8,7,14,16,18,12,16,17,18,15,13,16,16
Aleksandar PAVLOVIĆ,Germany,188,15,8,12,12,13,17,11,11,11,12,13,13,11,12,13,16
Joshua Walter KIMMICH,Germany,177,16,11,13,14,18,18,12,12,12,13,11,13,12,13,12,16
Kai Lukas HAVERTZ,Germany,193,17,13,15,11,10,16,15,14,13,14,14,15,8,10,11,16
Leon Christoph GORETZKA,Germany,189,14,12,12,15,11,15,16,17,12,14,16,16,12,14,12,16
Jamie Jaleel Jeremy LEWELING,Germany,184,12,10,15,11,12,11,10,14,15,16,12,12,9,11,9,12
